dataset,split,variant,metric,mean,std,seeds
hotpotqa,all,rrf_dense_hkvm,mrr,0.9168728944049673,0.00031037200294946934,3
hotpotqa,all,rrf_dense_hkvm,recall@10,100.0,0.0,3
hotpotqa,all,rrf_dense_hkvm,recall@5,87.53319828944407,0.05843238796194553,3
hotpotqa,analysis_train_slice,colbertv2,all_recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,colbertv2,all_recall@5,68.3082271147161,0.0,3
hotpotqa,analysis_train_slice,colbertv2,answer_support_rate,80.16608729239088,0.0,3
hotpotqa,analysis_train_slice,colbertv2,em,80.16608729239088,0.0,3
hotpotqa,analysis_train_slice,colbertv2,f1,80.37630723575785,0.0,3
hotpotqa,analysis_train_slice,colbertv2,mrr,0.9218562814594101,0.0,3
hotpotqa,analysis_train_slice,colbertv2,recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,colbertv2,recall@5,83.67130166087293,0.0,3
hotpotqa,analysis_train_slice,controller_dense_hkvm,all_recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,controller_dense_hkvm,all_recall@5,80.08883738895327,0.2762876752140412,3
hotpotqa,analysis_train_slice,controller_dense_hkvm,answer_support_rate,86.26882966396292,0.12315647270315931,3
hotpotqa,analysis_train_slice,controller_dense_hkvm,em,86.26882966396292,0.12315647270315931,3
hotpotqa,analysis_train_slice,controller_dense_hkvm,f1,86.42619776586326,0.12136380720957672,3
hotpotqa,analysis_train_slice,controller_dense_hkvm,mrr,0.9263583874389205,0.005048206854920854,3
hotpotqa,analysis_train_slice,controller_dense_hkvm,recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,controller_dense_hkvm,recall@5,89.81266898416376,0.14729060369058716,3
hotpotqa,analysis_train_slice,controller_dense_only,all_recall@10,100.0,0.0,3
hotpotqa,analysis_train_slice,controller_dense_only,all_recall@5,67.69022788721514,0.12907131231983204,3
hotpotqa,analysis_train_slice,controller_dense_only,answer_support_rate,80.10814986481266,0.05685438950900079,3
