dataset,seed,split,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate
musique,29,analysis_train_slice,colbertv2,controller_dense_hkvm,recall@5,1671,60.23339317773788,71.803311390385,11.569918212647117,569,127,975,0.3405146618791143,0.07600239377618193
musique,43,analysis_train_slice,colbertv2,controller_dense_hkvm,recall@5,1671,60.23339317773788,72.60123678436067,12.367843606622781,618,151,902,0.36983842010771995,0.09036505086774387
musique,13,analysis_train_slice,colbertv2,controller_dense_hkvm,recall@10,1671,76.80530620386993,84.42050668262517,7.615200478755236,434,106,1131,0.2597247157390784,0.06343506882106523
musique,29,analysis_train_slice,colbertv2,controller_dense_hkvm,recall@10,1671,76.80530620386993,84.93915818870936,8.133851984839417,453,100,1118,0.2710951526032316,0.059844404548174746
musique,43,analysis_train_slice,colbertv2,controller_dense_hkvm,recall@10,1671,76.80530620386993,84.35068821065231,7.545382006782366,455,135,1081,0.2722920406941951,0.0807899461400359
musique,13,analysis_train_slice,colbertv2,controller_dense_hkvm,mrr,1671,0.8144901826679205,0.8541784218175601,0.03968823914963951,303,200,1168,0.1813285457809695,0.11968880909634949
musique,29,analysis_train_slice,colbertv2,controller_dense_hkvm,mrr,1671,0.8144901826679205,0.8364314686576805,0.02194128598975996,255,178,1238,0.1526032315978456,0.10652304009575105
musique,43,analysis_train_slice,colbertv2,controller_dense_hkvm,mrr,1671,0.8144901826679205,0.8293902520114369,0.014900069343516382,338,347,986,0.20227408737283065,0.20766008378216635
musique,13,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,f1,1671,56.55386232750874,65.95649473732249,9.402632409813739,248,90,1333,0.14841412327947337,0.05385996409335727
musique,29,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,f1,1671,57.423082873569506,65.08161790194295,7.658535028373448,248,125,1298,0.14841412327947337,0.07480550568521843
musique,43,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,f1,1671,57.506286457670754,65.32960638100124,7.823319923330484,214,83,1374,0.12806702573309395,0.04967085577498504
musique,13,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,em,1671,56.07420706163974,65.58946738479952,9.515260323159785,240,81,1350,0.1436265709156194,0.04847396768402154
musique,29,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,em,1671,56.91202872531418,64.81149012567325,7.899461400359066,243,111,1317,0.14542190305206462,0.06642728904847396
musique,43,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,em,1671,57.03171753441053,64.99102333931778,7.959305804907241,208,75,1388,0.12447636146020347,0.04488330341113106
musique,13,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@10,1671,52.483542788749254,63.37522441651706,10.891681627767804,269,87,1315,0.16098144823459007,0.05206463195691203
musique,29,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@10,1671,53.02214242968282,64.4524236983842,11.430281268701377,298,107,1266,0.17833632555356074,0.06403351286654697
musique,43,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@10,1671,52.90245362058648,63.73429084380611,10.83183722321963,251,70,1350,0.15020945541591862,0.041891083183722325
musique,13,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@5,1671,35.0688210652304,43.26750448833034,8.19868342309994,217,80,1374,0.1298623578695392,0.047875523638539794
musique,29,analysis_train_slice,phase1c_mlp_topk_4,controller_dense_hkvm,all_recall@5,1671,35.36804308797127,42.549371633752244,7.1813285457809695,219,99,1353,0.1310592459605027,0.059245960502693
