dataset,seed,split,variant,metric,value,n_examples
musique,29,analysis_train_slice,phase1c_mlp_topk_4,mrr,0.8037725722644933,1671
musique,29,analysis_train_slice,controller_dense_only,f1,59.058918721765906,1671
musique,29,analysis_train_slice,controller_dense_only,em,58.58767205266307,1671
musique,29,analysis_train_slice,controller_dense_only,all_recall@10,51.76540993417115,1671
musique,29,analysis_train_slice,controller_dense_only,all_recall@5,26.810293237582286,1671
musique,29,analysis_train_slice,controller_dense_only,answer_support_rate,58.58767205266307,1671
musique,29,analysis_train_slice,controller_dense_only,recall@5,60.128665469778575,1671
musique,29,analysis_train_slice,controller_dense_only,recall@10,77.87751845202473,1671
musique,29,analysis_train_slice,controller_dense_only,mrr,0.8135699562090944,1671
musique,29,analysis_train_slice,controller_hkvm_only,f1,57.49380807894462,1671
musique,29,analysis_train_slice,controller_hkvm_only,em,56.97187312986236,1671
musique,29,analysis_train_slice,controller_hkvm_only,all_recall@10,59.4853381208857,1671
musique,29,analysis_train_slice,controller_hkvm_only,all_recall@5,35.18850987432675,1671
musique,29,analysis_train_slice,controller_hkvm_only,answer_support_rate,56.97187312986236,1671
musique,29,analysis_train_slice,controller_hkvm_only,recall@5,65.72910432874527,1671
musique,29,analysis_train_slice,controller_hkvm_only,recall@10,82.30101735487732,1671
musique,29,analysis_train_slice,controller_hkvm_only,mrr,0.8058490781111965,1671
musique,29,analysis_train_slice,quota_dense3_hkvm2,f1,59.58592179477784,1671
musique,29,analysis_train_slice,quota_dense3_hkvm2,em,59.18611609814482,1671
musique,29,analysis_train_slice,quota_dense3_hkvm2,all_recall@10,51.70556552962298,1671
musique,29,analysis_train_slice,quota_dense3_hkvm2,all_recall@5,29.802513464991023,1671
musique,29,analysis_train_slice,quota_dense3_hkvm2,answer_support_rate,59.18611609814482,1671
musique,29,analysis_train_slice,quota_dense3_hkvm2,recall@5,64.00857769798525,1671
musique,29,analysis_train_slice,quota_dense3_hkvm2,recall@10,78.63056054258927,1671
musique,29,analysis_train_slice,quota_dense3_hkvm2,mrr,0.8168982075175971,1671
musique,29,analysis_train_slice,rrf_dense_hkvm,f1,59.349848673764384,1671
musique,29,analysis_train_slice,rrf_dense_hkvm,em,58.88689407540395,1671
musique,29,analysis_train_slice,rrf_dense_hkvm,all_recall@10,62.89646918013166,1671
musique,29,analysis_train_slice,rrf_dense_hkvm,all_recall@5,32.974266906044285,1671
musique,29,analysis_train_slice,rrf_dense_hkvm,answer_support_rate,58.88689407540395,1671
