dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_dense,delta_vs_colbertv2,source_only_mean,source_only_delta_vs_dense,source_only_delta_vs_colbertv2,delta_vs_whg_kv_controller,source_path_before_reorg
2wiki,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,79.26208651399492,0.2233079651168933,3,14.551526717557252,14.551526717557252,77.52862595419847,12.81806615776081,12.81806615776081,-9.149703138252747,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,77.52862595419847,0.0,3,12.81806615776081,12.81806615776081,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,99.6501272264631,-0.3498727735369016,-0.3498727735369016,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,-0.3498727735369016,-0.3498727735369016,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,72.10824851569126,0.7398409964539829,3,25.71034775233248,25.71034775233248,70.18924936386769,23.79134860050891,23.79134860050891,-20.828032230703997,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,70.18924936386769,0.0,3,23.79134860050891,23.79134860050891,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,f1,F1,78.7235964129627,0.0861140113334355,3,13.225238810946436,13.225238810946436,75.89402027596628,10.395662673950014,10.395662673950014,-9.894229718463095,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,75.89402027596628,0.0,3,10.395662673950014,10.395662673950014,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,em,EM,78.27343087362172,0.06819699072449029,3,13.562871077184056,13.562871077184056,75.37372773536896,10.663167938931295,10.663167938931295,-10.138358778625943,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,em,EM,75.37372773536896,0.0,3,10.663167938931295,10.663167938931295,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,98.10750636132316,-1.8924936386768394,-1.8924936386768394,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,98.10750636132316,0.0,3,-1.8924936386768394,-1.8924936386768394,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,69.3198685326548,0.5499239284740518,3,22.921967769296018,22.921967769296018,66.14980916030534,19.75190839694656,19.75190839694656,-23.61641221374046,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,66.14980916030534,0.0,3,19.75190839694656,19.75190839694656,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,f1,F1,88.6178261314258,0.09141185873043928,3,23.11946852940953,23.11946852940953,88.39122632467331,22.89286872265704,22.89286872265704,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,88.39122632467331,0.09932670237050562,3,22.89286872265704,22.89286872265704,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,em,EM,88.41178965224766,0.10394758031768463,3,23.70122985581,23.70122985581,88.18119168787108,23.470631891433413,23.470631891433413,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,em,EM,88.18119168787108,0.10495647727535314,3,23.470631891433413,23.470631891433413,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,99.02989821882952,-0.9701017811704844,-0.9701017811704844,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.02989821882952,0.07022710612538151,3,-0.9701017811704844,-0.9701017811704844,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,92.93628074639525,0.1585463997957833,3,46.53837998303648,46.53837998303648,92.5307463952502,46.13284563189143,46.13284563189143,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,92.5307463952502,0.1371644299505449,3,46.13284563189143,46.13284563189143,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
