dataset,seed,reference_variant,candidate_variant,metric,n_examples,reference_mean,candidate_mean,mean_diff,wins,losses,ties,win_rate,loss_rate,source_path_before_reorg
hotpotqa,29,colbertv2,controller_dense_hkvm,em,7405,79.63538149898717,85.46927751519243,5.833896016205267,750,318,6337,0.1012829169480081,0.04294395678595544,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,colbertv2,controller_dense_hkvm,all_recall@10,7405,100.0,100.0,0.0,0,0,7405,0.0,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,colbertv2,controller_dense_hkvm,all_recall@5,7405,68.19716407832546,79.47332883187036,11.276164753544903,1392,557,5456,0.18798109385550305,0.07521944632005402,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,colbertv2,controller_dense_hkvm,answer_support_rate,7405,79.63538149898717,85.46927751519243,5.833896016205267,750,318,6337,0.1012829169480081,0.04294395678595544,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,colbertv2,controller_dense_hkvm,recall@5,7405,83.60567184334909,89.46657663740716,5.860904794058069,1426,578,5401,0.19257258609047942,0.07805536799459824,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,colbertv2,controller_dense_hkvm,recall@10,7405,100.0,100.0,0.0,0,0,7405,0.0,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,29,colbertv2,controller_dense_hkvm,mrr,7405,0.9238724371134904,0.9196178043578449,-0.0042546327556455855,552,630,6223,0.07454422687373397,0.08507765023632681,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,colbertv2,controller_dense_hkvm,f1,7405,79.84400128960641,85.9530252286172,6.10902393901079,738,288,6379,0.09966239027683997,0.038892640108035115,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,colbertv2,controller_dense_hkvm,em,7405,79.63538149898717,85.77987846049966,6.144496961512491,728,273,6404,0.09831195138419986,0.03686698176907495,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
hotpotqa,43,colbertv2,controller_dense_hkvm,all_recall@10,7405,100.0,100.0,0.0,0,0,7405,0.0,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_seed_level_diffs.csv
