dataset,reference_variant,candidate_variant,metric,bootstrap_unit,seeds,n_seeds_completed,n_bootstrap_units,reference_seed_mean,candidate_seed_mean,seed_mean_diff,seed_sd_diff,seed_min_diff,seed_max_diff,all_seed_means_positive,mean_diff,sd_diff,ci_low,ci_high,p_diff_le_0,source_path_before_reorg
hotpotqa,colbertv2,controller_dense_hkvm,em,seed_mean,"13,29,43",3,3,79.63538149898717,85.62682871933379,5.991447220346613,0.15534939389365185,5.833896016205267,6.144496961512491,True,5.991447220346612,0.15534939389365182,5.833896016205267,6.144496961512491,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,all_recall@10,seed_example,"13,29,43",3,22215,100.0,100.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,all_recall@10,seed_mean,"13,29,43",3,3,100.0,100.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,all_recall@5,seed_example,"13,29,43",3,22215,68.19716407832546,79.77942831420212,11.58226423587666,0.3981696040962589,11.276164753544903,12.032410533423363,True,11.58226423587666,49.445417864586695,10.934053567409409,12.234976367319378,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,all_recall@5,seed_mean,"13,29,43",3,3,68.19716407832546,79.77942831420212,11.58226423587666,0.3981696040962589,11.276164753544903,12.032410533423363,True,11.582264235876659,0.3981696040962589,11.276164753544903,12.032410533423365,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,answer_support_rate,seed_example,"13,29,43",3,22215,79.63538149898717,85.62682871933379,5.991447220346613,0.15534939389365185,5.833896016205267,6.144496961512491,True,5.991447220346613,37.110292119205525,5.49628629304524,6.491109610623453,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,answer_support_rate,seed_mean,"13,29,43",3,3,79.63538149898717,85.62682871933379,5.991447220346613,0.15534939389365185,5.833896016205267,6.144496961512491,True,5.991447220346612,0.15534939389365182,5.833896016205267,6.144496961512491,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,recall@5,seed_example,"13,29,43",3,22215,83.60567184334909,89.63988296196264,6.034211118613549,0.19965650266617246,5.860904794058069,6.2525320729237,True,6.034211118613549,25.595996510070876,5.689849200990322,6.369570110285843,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,recall@5,seed_mean,"13,29,43",3,3,83.60567184334909,89.63988296196264,6.034211118613549,0.19965650266617246,5.860904794058069,6.2525320729237,True,6.034211118613549,0.19965650266617246,5.860904794058069,6.2525320729237,0.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
hotpotqa,colbertv2,controller_dense_hkvm,recall@10,seed_example,"13,29,43",3,22215,100.0,100.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1.0,results/phase1d_controller/phase1d_hotpot_oof_paired_bootstrap_20260602/phase1d_paired_bootstrap_summary.csv
