dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_bm25,source_only_mean,source_only_delta_vs_bm25,delta_vs_whg_kv_controller,source_path_before_reorg,delta_vs_dense,delta_vs_colbertv2,source_only_delta_vs_dense,source_only_delta_vs_colbertv2
musique,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,36.65701282581713,0.9108459371649911,3,17.95614398014067,35.59509033236795,16.894221486691496,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,35.59509033236795,0.019503703797726098,3,16.894221486691496,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,72.90176465413992,0.31271834776055557,3,1.0286400369229227,70.66540003324354,-1.2077245839734587,-15.423349325675815,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,70.66540003324354,0.0,3,-1.2077245839734587,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,72.33354537743851,0.3167602893114379,3,1.02311280746396,70.06997455470739,-1.2404580152671656,-15.778731976251052,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,70.06997455470739,0.0,3,-1.2404580152671656,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,99.99204834605598,0.0,3,0.7395038167938992,99.6501272264631,0.3975826972010168,0.09807039864291767,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,0.3975826972010168,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,59.51017811704835,0.3302250815755722,3,2.87054707379135,56.774809160305345,0.1351781170483477,-32.99141221374045,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,56.774809160305345,0.0,3,0.1351781170483477,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,78.53917705746267,0.08337149564407156,3,6.6660524402456645,78.09801350168857,6.224888884471568,-9.785936922353073,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
