dataset,seed,repeat,feature_count,feature_mode,examples,candidate_passages,elapsed_seconds,milliseconds_per_example,microseconds_per_candidate,examples_per_second,candidate_passages_per_second,ranking_checksum
hotpotqa,13,5,23,dense_hkvm,7405,73700,1.493361309869215,0.20166931936113638,20.26270434015217,4958.612461071803,49351.75400148439,643e340a6b7d74a4132fa5d97fccaec900fd799a328c6fd896e8a256441c8a54
hotpotqa,13,6,23,dense_hkvm,7405,73700,1.248260963940993,0.16857001538703484,16.937055141668832,5932.253121671795,59042.14112994076,643e340a6b7d74a4132fa5d97fccaec900fd799a328c6fd896e8a256441c8a54
hotpotqa,29,0,23,dense_hkvm,7405,73700,1.582157338038087,0.21366068035625752,21.467535115849213,4680.31833621704,46581.96642527966,24dce028c453ea956cd4329d9b7675ce41aa908573a3239bb267886b922828c6
hotpotqa,29,1,23,dense_hkvm,7405,73700,1.1326368181034923,0.15295568104030954,15.36820648715729,6537.841505451913,65069.40161401836,24dce028c453ea956cd4329d9b7675ce41aa908573a3239bb267886b922828c6
hotpotqa,29,2,23,dense_hkvm,7405,73700,1.5796474609524012,0.2133217367930319,21.43347979582634,4687.754820645473,46655.9797814411,24dce028c453ea956cd4329d9b7675ce41aa908573a3239bb267886b922828c6
hotpotqa,29,3,23,dense_hkvm,7405,73700,1.1845984959509224,0.1599727881095101,16.07324960584698,6251.063145285968,62215.17269514866,24dce028c453ea956cd4329d9b7675ce41aa908573a3239bb267886b922828c6
hotpotqa,29,4,23,dense_hkvm,7405,73700,1.212377202929929,0.16372413273868047,16.45016557571138,6107.8350715474335,60789.661684408624,24dce028c453ea956cd4329d9b7675ce41aa908573a3239bb267886b922828c6
hotpotqa,29,5,23,dense_hkvm,7405,73700,1.6870678779669106,0.22782820769303316,22.8910159832688,4389.272119224855,43685.26065994217,24dce028c453ea956cd4329d9b7675ce41aa908573a3239bb267886b922828c6
hotpotqa,29,6,23,dense_hkvm,7405,73700,1.7424584971740842,0.2353083723395117,23.642584764912947,4249.742540215113,42296.559785800644,24dce028c453ea956cd4329d9b7675ce41aa908573a3239bb267886b922828c6
hotpotqa,43,0,23,dense_hkvm,7405,73700,1.442080105887726,0.19474410612933504,19.56689424542369,5134.943592777447,51106.730963902475,5b053e483373e185cb84948ea8150c9c61d207c69c586e2276cfbdcded4efa68
hotpotqa,43,1,23,dense_hkvm,7405,73700,1.729826136957854,0.23360244928532803,23.471182319645237,4280.777034056584,42605.43786765297,5b053e483373e185cb84948ea8150c9c61d207c69c586e2276cfbdcded4efa68
hotpotqa,43,2,23,dense_hkvm,7405,73700,1.4490614249370992,0.19568689060595534,19.66162041977068,5110.204351980065,50860.50786508182,5b053e483373e185cb84948ea8150c9c61d207c69c586e2276cfbdcded4efa68
hotpotqa,43,3,23,dense_hkvm,7405,73700,1.6788395021576434,0.22671701582142384,22.77936909304808,4410.7849442922325,43899.37209916779,5b053e483373e185cb84948ea8150c9c61d207c69c586e2276cfbdcded4efa68
hotpotqa,43,4,23,dense_hkvm,7405,73700,1.7509488340001553,0.2364549404456658,23.757786078699528,4229.135572787013,42091.46410727926,5b053e483373e185cb84948ea8150c9c61d207c69c586e2276cfbdcded4efa68
hotpotqa,43,5,23,dense_hkvm,7405,73700,1.7385356968734413,0.23477862213010686,23.589358166532445,4259.3315819267045,42391.9969733961,5b053e483373e185cb84948ea8150c9c61d207c69c586e2276cfbdcded4efa68
hotpotqa,43,6,23,dense_hkvm,7405,73700,1.3846888469997793,0.186993767319349,18.788179742195105,5347.771823283257,53224.953865763135,5b053e483373e185cb84948ea8150c9c61d207c69c586e2276cfbdcded4efa68
